wakame	83933a_06b04aabdb1d4f8cb234ea22a2be3a18~mv2.png
kimchi	83933a_a815db95333443b2b8e22ab86d779878~mv2.png
edamame	83933a_9da44de2574c451aaa4dd5e1f9cdd0a3~mv2.png
mini-varrullar	83933a_2f90a1e45185482cb875a28e9e6ed34a~mv2_d_1766_2048_s_2.jpg
ebi-fry	83933a_d3944d9bcd824a00941241fa11231ad1~mv2.jpeg
gyoza	83933a_ce7bbc34a5034f70a5d7fd4986808086~mv2.jpeg
golden-chicken	83933a_5a650d39c4204554b1b033d661700760~mv2.jpeg
lax-sallad	83933a_b41b705caef24068af70173d76251317~mv2.jpeg
fry-mix	83933a_5220f5665e9347ec84ddcf4ff7b7a9fa~mv2.jpeg
sushi-8	83933a_bdca597e89994a179e1973635e9070ee~mv2.jpeg
sushi-10	83933a_7933711531904700a416b7dbb042615e~mv2.jpeg
sushi-12	83933a_b5746d8561e949ae80d97302ad418342~mv2.jpeg
sushi-15	83933a_f7976b28d0ef4eb497f83a32849079c6~mv2.jpeg
familje-40	83933a_630c1ee728fc48c7bb76dc6c244e2f44~mv2.jpeg
veg-sushi-8	83933a_07205457397b4a1fbe55c5e3f7afcef3~mv2_d_2049_1535_s_2.jpg
veg-sushi-10	83933a_6db0c62016924716a953e0e9cf1aa325~mv2_d_2082_1536_s_2.jpg
veg-sushi-12	83933a_003603e556f24466a25e466dd7d89b4a~mv2_d_2140_1536_s_2.jpg
lax-poke	83933a_67e5830621fc4dd0b946507b4a7fda19~mv2.jpeg
veg-poke	83933a_642b7854beb74b2fa56afb0a749d5c3e~mv2.jpeg
prawn-poke	83933a_2927ab0e400d4a3782be278f733fdfe8~mv2.jpeg
kyckling-poke	83933a_0b8b1d9e1b464cdbadabaed47e5f5169~mv2.jpeg
krispig-ebi-poke	83933a_b2a2d21a8abb45a58f8c342ba5911d44~mv2.jpeg
yakitori	83933a_dd7a107c913b41af882593a023d5457e~mv2.jpeg
yakiniku	83933a_9ff4c9124f70409086844c8cab5c5c31~mv2.jpeg
kyckling-dumplings	83933a_a2f76332274a49ebb633f5a8ffb5811a~mv2.jpeg
veg-dumplings	83933a_bfb1b7a8d24e4df9aae7a3a27594ee2c~mv2.jpeg
bibimbap	83933a_d9675fc87107424188188effa816413e~mv2.jpeg
veg-bibimbap	83933a_fa598560fd6645d2a562e04a05417690~mv2.jpeg
egen-kombo	83933a_1cddcd5f26a94898bdf36089b387894f~mv2.jpg
nigiri-10-lax-avokado	83933a_5ea592fa72d744da9f5e45382180e983~mv2.jpeg
nigiri-12-lax-avokado	83933a_453e8087ff504c64aa21bc96401d2bd7~mv2.jpeg
flamberad-8	83933a_b12bff510a134b5cbeb4a560a2d78c9d~mv2.jpeg
flamberad-10	83933a_083457ad686d4b149baa84426082534a~mv2.jpeg
nigiri-lax	83933a_26c1bcd70b814c85a9fd9fe77fe16665~mv2_d_2825_1536_s_2.jpg
nigiri-raka	83933a_83587bd6ac5a4515ac9b974a8595209d~mv2_d_2305_1536_s_2.jpg
nigiri-tilapia	83933a_ad85164c3d584ae08f8a0c9d4284873b~mv2_d_2047_2047_s_2.jpg
nigiri-tonfisk	83933a_a8d6940342d04fabbfa0a74304f4b8a9~mv2_d_2147_1536_s_2.jpg
nigiri-blackfisk	83933a_f16c09232e5e4480973bedc1f17b4ec6~mv2_d_2226_1536_s_2.jpg
nigiri-flamed-lax	83933a_5ea5b1f236e34fb79722bb42fa4c7d11~mv2.png
nigiri-tofu	83933a_39a1b7e8ef384acd8f21f5923fb2047e~mv2_d_2044_2044_s_2.jpg
nigiri-avokado	83933a_82f8edfd892846a2bdae0fea6d2459e1~mv2_d_2048_1536_s_2.jpg
nigiri-omelett	83933a_a7abd91b7391483bb6ec0c6c171eaf0d~mv2_d_2047_2047_s_2.jpg
nigiri-portobello	83933a_6edccf80eb944406a08e93c8e5b26dd5~mv2_d_2048_1969_s_2.jpg
laxmaki	83933a_039fd1f1bfc24d34aa665157b894f556~mv2.jpeg
classic-laxmaki	83933a_0617ad06e3a64e1a9a4bec6103bd2360~mv2.png
spicy-laxmaki	83933a_be7e5e644d284c30bec9998959af4123~mv2.jpeg
california-roll	83933a_6dba67f76a8d49e891dcd57fe99a7877~mv2.jpeg
boston-roll	83933a_5418607312f24e7b9fd9663d2b402b3b~mv2.jpeg
new-york-roll	83933a_214e4d3690424d429d8b1dcb7573e70d~mv2.jpeg
vegetarisk-roll	83933a_2efe2814ed3e4a0dbcf26fe5295b1c51~mv2.jpeg
spicy-lax-roll	83933a_3864f81252ec4883aefc7fefcfda6d25~mv2.jpeg
krispig-ebi-roll	83933a_282329b5aa6646938158b158b9e60923~mv2.jpeg
krispig-kyckling-roll	83933a_794b07b59e324f33932d960cb66fbc45~mv2.jpeg
dragon-roll	83933a_1b2321ef1f454157a866eebd74f655c2~mv2.jpeg
rainbow-roll	83933a_4051004453b64e91ae2c4a3dd87081e8~mv2.jpeg
veggie-roll	83933a_b350e7247c474daf96f3ab2a4f4a8ab8~mv2.jpeg
nemo-roll	83933a_b020a7a236774941ba95093d929559ed~mv2.jpeg
alaska-roll	83933a_9f480d54867b4d7cac4d79992d28eb0d~mv2.jpeg
super-krispig-kyckling	83933a_627eed3bea4042e689424700e0b8959e~mv2.jpeg
orange-krispig-ebi	83933a_e2e44db047904654b957b50c51e9d927~mv2.jpeg
green-krispig-ebi	83933a_7838929147f74e3e93e7ad62f9c7e110~mv2.jpeg
sunshine-roll	83933a_2c5521ab17a14660987cd1871e5a0c87~mv2.jpeg
super-lax-roll	83933a_f23885cc5db5424589e6389d2ff9e9af~mv2.jpeg
tiger-roll	83933a_7da889cab0f046ab957454c4f583e4eb~mv2.jpeg
dynamite-lax	83933a_879b4320beaa480b9f50294ff1af5210~mv2.jpg
dynamite-kyckling	5f3c0e_398174de8c93426ebd18d1fd80de96a6~mv2.jpg
dynamite-biff	83933a_233abbae3fa541fcba867b3a6db235df~mv2.jpeg
rispapper-lax	83933a_3cbda5edf06e4418acd38452983522d0~mv2.png
rispapper-kyckling	83933a_08d977391fda401987efa64a48c0177b~mv2.png
rispapper-rakor	83933a_5dadb00eb31142fea39a8a0ee1db735d~mv2.png
lax-sashimi	83933a_3fe3cd8ef8094317b0260cb4aa1ce313~mv2.jpeg
sashimi-mix	83933a_bc392836222c477cbeb5ba04bbab4476~mv2.jpeg
hoso-lax	83933a_e426a4b0207c4e05a00e5b3b8cc9521a~mv2.png
hoso-avokado	83933a_00d752f763994f0596638ab086dade6e~mv2.png
hoso-gurka	83933a_26030657adb44b0bb4df1ee20307f0cc~mv2.png
hoso-crabfisk	83933a_6697af7454a34e98ab83374b3af679e1~mv2.jpeg
hoso-krispig-ebi	83933a_9d119ea1d75d40ef8c7c5e0fac729455~mv2.png
barn-meny-1	83933a_94be7ee8fa764c238d4ea1699d62f9ae~mv2.png
barn-meny-2	83933a_7a39444eedd441cd8589fce2cac6768b~mv2.jpg
fest-meny	83933a_7624bb7fa43c4f27b6987835166b5e4f~mv2.png
loka-citron	83933a_6928e6656012493a810dcb1a23905c81~mv2.png
loka-paron	83933a_f0c8b800ba06488dac1425b7a9ff1daa~mv2.png
loka-naturell	83933a_290d896b3a5e4801baaa81b1e342213c~mv2.png
nygarda-paron	83933a_372abf6d42754f738d8a8d684a9c087d~mv2_d_1500_1500_s_2.jpg
nygarda-hallon	83933a_1146e34d36894bbd83a7713f19215b00~mv2_d_1500_1500_s_2.jpg
coca-cola	83933a_0088d8d988374109bda718aa861b09fd~mv2.png
coca-cola-zero	83933a_96c84cabdc2d4e83914a0206e3ba1003~mv2.png
fanta	83933a_48a849311fe84d358a9c8e21b985ae12~mv2.png
fanta-exotic	83933a_6243a0c0c7264eed89912bec596f67ee~mv2.png
lattol	83933a_ac06b0e83dfc4c6da4427a7ef911cf15~mv2.png
loka-jordgubb	83933a_70b3552f786e45c2b0251b4973e22418~mv2.png
redbull	83933a_f9b076c3ab794dc9a41218dfabbbea96~mv2.png
soja	83933a_a0d50ae42ce848f79454eb047c10b0a7~mv2.png
glutenfri-soja	83933a_0c48d0993b5f455cb8cde6d0cd7bffb5~mv2.jpg
soppa	83933a_f79187a4e6bc4699a6438f528acc48ae~mv2_d_4000_2925_s_4_2.jpg
hero-plate	0092cfd183e34f9395606a865e799bd1.jpg
meny-header	11062b_60e59ba9be974f96a5edfe6b187abd8cf000.jpg
